club_name,club_tm_id,league,season,market_value_m,club_url
1.FC Heidenheim 1846,2036,2. Bundesliga,2017-2018,14.48,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2017
1.FC Kaiserslautern,2,2. Bundesliga,2017-2018,21.63,https://www.transfermarkt.fr/1-fc-kaiserslautern/startseite/verein/2/saison_id/2017
1.FC Nürnberg,4,2. Bundesliga,2017-2018,33.2,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2017
1.FC Union Berlin,89,2. Bundesliga,2017-2018,23.15,https://www.transfermarkt.fr/1-fc-union-berlin/startseite/verein/89/saison_id/2017
Arminia Bielefeld,10,2. Bundesliga,2017-2018,18.0,https://www.transfermarkt.fr/arminia-bielefeld/startseite/verein/10/saison_id/2017
Eintracht Braunschweig,23,2. Bundesliga,2017-2018,18.38,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2017
FC Erzgebirge Aue,94,2. Bundesliga,2017-2018,13.28,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2017
FC Ingolstadt 04,4795,2. Bundesliga,2017-2018,34.33,https://www.transfermarkt.fr/fc-ingolstadt-04/startseite/verein/4795/saison_id/2017
FC St. Pauli,35,2. Bundesliga,2017-2018,17.88,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2017
Fortuna Düsseldorf,38,2. Bundesliga,2017-2018,37.28,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2017
Holstein Kiel,269,2. Bundesliga,2017-2018,18.15,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2017
MSV Duisburg,52,2. Bundesliga,2017-2018,13.1,https://www.transfermarkt.fr/msv-duisburg/startseite/verein/52/saison_id/2017
SG Dynamo Dresden,129,2. Bundesliga,2017-2018,19.25,https://www.transfermarkt.fr/sg-dynamo-dresden/startseite/verein/129/saison_id/2017
SSV Jahn Regensburg,109,2. Bundesliga,2017-2018,12.4,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2017
SV Darmstadt 98,105,2. Bundesliga,2017-2018,17.85,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2017
SV Sandhausen,254,2. Bundesliga,2017-2018,16.0,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2017
SpVgg Greuther Fürth,65,2. Bundesliga,2017-2018,16.65,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2017
VfL Bochum,80,2. Bundesliga,2017-2018,20.3,https://www.transfermarkt.fr/vfl-bochum/startseite/verein/80/saison_id/2017
1.FC Heidenheim 1846,2036,2. Bundesliga,2018-2019,20.3,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2018
1.FC Köln,3,2. Bundesliga,2018-2019,83.5,https://www.transfermarkt.fr/1-fc-koln/startseite/verein/3/saison_id/2018
1.FC Magdeburg,187,2. Bundesliga,2018-2019,12.65,https://www.transfermarkt.fr/1-fc-magdeburg/startseite/verein/187/saison_id/2018
1.FC Union Berlin,89,2. Bundesliga,2018-2019,30.48,https://www.transfermarkt.fr/1-fc-union-berlin/startseite/verein/89/saison_id/2018
Arminia Bielefeld,10,2. Bundesliga,2018-2019,19.2,https://www.transfermarkt.fr/arminia-bielefeld/startseite/verein/10/saison_id/2018
FC Erzgebirge Aue,94,2. Bundesliga,2018-2019,14.78,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2018
FC Ingolstadt 04,4795,2. Bundesliga,2018-2019,19.95,https://www.transfermarkt.fr/fc-ingolstadt-04/startseite/verein/4795/saison_id/2018
FC St. Pauli,35,2. Bundesliga,2018-2019,21.65,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2018
Hamburger SV,41,2. Bundesliga,2018-2019,86.85,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2018
Holstein Kiel,269,2. Bundesliga,2018-2019,24.93,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2018
MSV Duisburg,52,2. Bundesliga,2018-2019,11.98,https://www.transfermarkt.fr/msv-duisburg/startseite/verein/52/saison_id/2018
SC Paderborn 07,127,2. Bundesliga,2018-2019,25.75,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2018
SG Dynamo Dresden,129,2. Bundesliga,2018-2019,21.0,https://www.transfermarkt.fr/sg-dynamo-dresden/startseite/verein/129/saison_id/2018
SSV Jahn Regensburg,109,2. Bundesliga,2018-2019,15.75,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2018
SV Darmstadt 98,105,2. Bundesliga,2018-2019,18.1,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2018
SV Sandhausen,254,2. Bundesliga,2018-2019,15.5,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2018
SpVgg Greuther Fürth,65,2. Bundesliga,2018-2019,14.83,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2018
VfL Bochum,80,2. Bundesliga,2018-2019,19.98,https://www.transfermarkt.fr/vfl-bochum/startseite/verein/80/saison_id/2018
1.FC Heidenheim 1846,2036,2. Bundesliga,2019-2020,19.7,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2019
1.FC Nürnberg,4,2. Bundesliga,2019-2020,31.8,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2019
Arminia Bielefeld,10,2. Bundesliga,2019-2020,20.35,https://www.transfermarkt.fr/arminia-bielefeld/startseite/verein/10/saison_id/2019
FC Erzgebirge Aue,94,2. Bundesliga,2019-2020,13.68,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2019
FC St. Pauli,35,2. Bundesliga,2019-2020,21.98,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2019
Hamburger SV,41,2. Bundesliga,2019-2020,49.9,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2019
Hannover 96,42,2. Bundesliga,2019-2020,38.93,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2019
Holstein Kiel,269,2. Bundesliga,2019-2020,18.65,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2019
Karlsruher SC,48,2. Bundesliga,2019-2020,9.88,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2019
SG Dynamo Dresden,129,2. Bundesliga,2019-2020,18.53,https://www.transfermarkt.fr/sg-dynamo-dresden/startseite/verein/129/saison_id/2019
SSV Jahn Regensburg,109,2. Bundesliga,2019-2020,11.83,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2019
SV Darmstadt 98,105,2. Bundesliga,2019-2020,13.8,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2019
SV Sandhausen,254,2. Bundesliga,2019-2020,13.35,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2019
SV Wehen Wiesbaden,108,2. Bundesliga,2019-2020,10.45,https://www.transfermarkt.fr/sv-wehen-wiesbaden/startseite/verein/108/saison_id/2019
SpVgg Greuther Fürth,65,2. Bundesliga,2019-2020,14.03,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2019
VfB Stuttgart,79,2. Bundesliga,2019-2020,70.8,https://www.transfermarkt.fr/vfb-stuttgart/startseite/verein/79/saison_id/2019
VfL Bochum,80,2. Bundesliga,2019-2020,18.08,https://www.transfermarkt.fr/vfl-bochum/startseite/verein/80/saison_id/2019
VfL Osnabrück,81,2. Bundesliga,2019-2020,12.03,https://www.transfermarkt.fr/vfl-osnabruck/startseite/verein/81/saison_id/2019
1.FC Heidenheim 1846,2036,2. Bundesliga,2020-2021,20.5,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2020
1.FC Nürnberg,4,2. Bundesliga,2020-2021,27.38,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2020
Eintracht Braunschweig,23,2. Bundesliga,2020-2021,10.18,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2020
FC Erzgebirge Aue,94,2. Bundesliga,2020-2021,13.83,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2020
FC St. Pauli,35,2. Bundesliga,2020-2021,23.23,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2020
Fortuna Düsseldorf,38,2. Bundesliga,2020-2021,35.93,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2020
Hamburger SV,41,2. Bundesliga,2020-2021,35.6,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2020
Hannover 96,42,2. Bundesliga,2020-2021,24.05,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2020
Holstein Kiel,269,2. Bundesliga,2020-2021,21.35,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2020
Karlsruher SC,48,2. Bundesliga,2020-2021,15.4,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2020
SC Paderborn 07,127,2. Bundesliga,2020-2021,22.68,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2020
SSV Jahn Regensburg,109,2. Bundesliga,2020-2021,12.98,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2020
SV Darmstadt 98,105,2. Bundesliga,2020-2021,17.03,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2020
SV Sandhausen,254,2. Bundesliga,2020-2021,14.53,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2020
SpVgg Greuther Fürth,65,2. Bundesliga,2020-2021,30.53,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2020
VfL Bochum,80,2. Bundesliga,2020-2021,33.9,https://www.transfermarkt.fr/vfl-bochum/startseite/verein/80/saison_id/2020
VfL Osnabrück,81,2. Bundesliga,2020-2021,13.15,https://www.transfermarkt.fr/vfl-osnabruck/startseite/verein/81/saison_id/2020
Würzburger Kickers,1557,2. Bundesliga,2020-2021,11.03,https://www.transfermarkt.fr/wurzburger-kickers/startseite/verein/1557/saison_id/2020
1.FC Heidenheim 1846,2036,2. Bundesliga,2021-2022,18.35,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2021
1.FC Nürnberg,4,2. Bundesliga,2021-2022,28.83,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2021
FC Erzgebirge Aue,94,2. Bundesliga,2021-2022,11.0,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2021
FC Hansa Rostock,30,2. Bundesliga,2021-2022,13.5,https://www.transfermarkt.fr/fc-hansa-rostock/startseite/verein/30/saison_id/2021
FC Ingolstadt 04,4795,2. Bundesliga,2021-2022,13.83,https://www.transfermarkt.fr/fc-ingolstadt-04/startseite/verein/4795/saison_id/2021
FC Schalke 04,33,2. Bundesliga,2021-2022,43.83,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2021
FC St. Pauli,35,2. Bundesliga,2021-2022,25.68,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2021
Fortuna Düsseldorf,38,2. Bundesliga,2021-2022,27.28,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2021
Hamburger SV,41,2. Bundesliga,2021-2022,43.73,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2021
Hannover 96,42,2. Bundesliga,2021-2022,28.6,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2021
Holstein Kiel,269,2. Bundesliga,2021-2022,16.85,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2021
Karlsruher SC,48,2. Bundesliga,2021-2022,17.6,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2021
SC Paderborn 07,127,2. Bundesliga,2021-2022,19.9,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2021
SG Dynamo Dresden,129,2. Bundesliga,2021-2022,14.2,https://www.transfermarkt.fr/sg-dynamo-dresden/startseite/verein/129/saison_id/2021
SSV Jahn Regensburg,109,2. Bundesliga,2021-2022,16.78,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2021
SV Darmstadt 98,105,2. Bundesliga,2021-2022,20.33,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2021
SV Sandhausen,254,2. Bundesliga,2021-2022,16.98,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2021
SV Werder Bremen,86,2. Bundesliga,2021-2022,62.1,https://www.transfermarkt.fr/sv-werder-bremen/startseite/verein/86/saison_id/2021
1.FC Heidenheim 1846,2036,2. Bundesliga,2022-2023,25.2,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2022
1.FC Kaiserslautern,2,2. Bundesliga,2022-2023,14.58,https://www.transfermarkt.fr/1-fc-kaiserslautern/startseite/verein/2/saison_id/2022
1.FC Magdeburg,187,2. Bundesliga,2022-2023,17.5,https://www.transfermarkt.fr/1-fc-magdeburg/startseite/verein/187/saison_id/2022
1.FC Nürnberg,4,2. Bundesliga,2022-2023,28.53,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2022
Arminia Bielefeld,10,2. Bundesliga,2022-2023,25.0,https://www.transfermarkt.fr/arminia-bielefeld/startseite/verein/10/saison_id/2022
Eintracht Braunschweig,23,2. Bundesliga,2022-2023,19.23,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2022
FC Hansa Rostock,30,2. Bundesliga,2022-2023,14.3,https://www.transfermarkt.fr/fc-hansa-rostock/startseite/verein/30/saison_id/2022
FC St. Pauli,35,2. Bundesliga,2022-2023,25.05,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2022
Fortuna Düsseldorf,38,2. Bundesliga,2022-2023,29.3,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2022
Hamburger SV,41,2. Bundesliga,2022-2023,38.78,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2022
Hannover 96,42,2. Bundesliga,2022-2023,21.78,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2022
Holstein Kiel,269,2. Bundesliga,2022-2023,17.88,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2022
Karlsruher SC,48,2. Bundesliga,2022-2023,22.08,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2022
SC Paderborn 07,127,2. Bundesliga,2022-2023,25.88,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2022
SSV Jahn Regensburg,109,2. Bundesliga,2022-2023,14.28,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2022
SV Darmstadt 98,105,2. Bundesliga,2022-2023,27.88,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2022
SV Sandhausen,254,2. Bundesliga,2022-2023,15.43,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2022
SpVgg Greuther Fürth,65,2. Bundesliga,2022-2023,23.6,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2022
1.FC Kaiserslautern,2,2. Bundesliga,2023-2024,24.43,https://www.transfermarkt.fr/1-fc-kaiserslautern/startseite/verein/2/saison_id/2023
1.FC Magdeburg,187,2. Bundesliga,2023-2024,18.05,https://www.transfermarkt.fr/1-fc-magdeburg/startseite/verein/187/saison_id/2023
1.FC Nürnberg,4,2. Bundesliga,2023-2024,40.3,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2023
Eintracht Braunschweig,23,2. Bundesliga,2023-2024,17.63,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2023
FC Hansa Rostock,30,2. Bundesliga,2023-2024,14.78,https://www.transfermarkt.fr/fc-hansa-rostock/startseite/verein/30/saison_id/2023
FC Schalke 04,33,2. Bundesliga,2023-2024,37.7,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2023
FC St. Pauli,35,2. Bundesliga,2023-2024,42.08,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2023
Fortuna Düsseldorf,38,2. Bundesliga,2023-2024,44.9,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2023
Hamburger SV,41,2. Bundesliga,2023-2024,42.15,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2023
Hannover 96,42,2. Bundesliga,2023-2024,35.33,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2023
Hertha BSC,44,2. Bundesliga,2023-2024,62.23,https://www.transfermarkt.fr/hertha-bsc/startseite/verein/44/saison_id/2023
Holstein Kiel,269,2. Bundesliga,2023-2024,38.48,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2023
Karlsruher SC,48,2. Bundesliga,2023-2024,23.08,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2023
SC Paderborn 07,127,2. Bundesliga,2023-2024,25.5,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2023
SV 07 Elversberg,64,2. Bundesliga,2023-2024,25.28,https://www.transfermarkt.fr/sv-07-elversberg/startseite/verein/64/saison_id/2023
SV Wehen Wiesbaden,108,2. Bundesliga,2023-2024,16.78,https://www.transfermarkt.fr/sv-wehen-wiesbaden/startseite/verein/108/saison_id/2023
SpVgg Greuther Fürth,65,2. Bundesliga,2023-2024,32.63,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2023
VfL Osnabrück,81,2. Bundesliga,2023-2024,14.1,https://www.transfermarkt.fr/vfl-osnabruck/startseite/verein/81/saison_id/2023
1.FC Kaiserslautern,2,2. Bundesliga,2024-2025,35.6,https://www.transfermarkt.fr/1-fc-kaiserslautern/startseite/verein/2/saison_id/2024
1.FC Köln,3,2. Bundesliga,2024-2025,77.38,https://www.transfermarkt.fr/1-fc-koln/startseite/verein/3/saison_id/2024
1.FC Magdeburg,187,2. Bundesliga,2024-2025,30.4,https://www.transfermarkt.fr/1-fc-magdeburg/startseite/verein/187/saison_id/2024
1.FC Nürnberg,4,2. Bundesliga,2024-2025,80.73,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2024
Eintracht Braunschweig,23,2. Bundesliga,2024-2025,20.13,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2024
FC Schalke 04,33,2. Bundesliga,2024-2025,38.15,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2024
Fortuna Düsseldorf,38,2. Bundesliga,2024-2025,53.53,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2024
Hamburger SV,41,2. Bundesliga,2024-2025,64.85,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2024
Hannover 96,42,2. Bundesliga,2024-2025,33.0,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2024
Hertha BSC,44,2. Bundesliga,2024-2025,57.58,https://www.transfermarkt.fr/hertha-bsc/startseite/verein/44/saison_id/2024
Karlsruher SC,48,2. Bundesliga,2024-2025,29.63,https://www.transfermarkt.fr/karlsruher-sc/startseite/verein/48/saison_id/2024
Preußen Münster,91,2. Bundesliga,2024-2025,13.98,https://www.transfermarkt.fr/preussen-munster/startseite/verein/91/saison_id/2024
SC Paderborn 07,127,2. Bundesliga,2024-2025,38.95,https://www.transfermarkt.fr/sc-paderborn-07/startseite/verein/127/saison_id/2024
SSV Jahn Regensburg,109,2. Bundesliga,2024-2025,12.68,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2024
SSV Ulm 1846,69,2. Bundesliga,2024-2025,21.9,https://www.transfermarkt.fr/ssv-ulm-1846/startseite/verein/69/saison_id/2024
SV 07 Elversberg,64,2. Bundesliga,2024-2025,39.45,https://www.transfermarkt.fr/sv-07-elversberg/startseite/verein/64/saison_id/2024
SV Darmstadt 98,105,2. Bundesliga,2024-2025,30.55,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2024
SpVgg Greuther Fürth,65,2. Bundesliga,2024-2025,25.75,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2024
1.FC Köln,3,Bundesliga,2017-2018,91.73,https://www.transfermarkt.fr/1-fc-koln/startseite/verein/3/saison_id/2017
1.FSV Mainz 05,39,Bundesliga,2017-2018,98.35,https://www.transfermarkt.fr/1-fsv-mainz-05/startseite/verein/39/saison_id/2017
Bayer 04 Leverkusen,15,Bundesliga,2017-2018,357.35,https://www.transfermarkt.fr/bayer-04-leverkusen/startseite/verein/15/saison_id/2017
Bayern Munich,27,Bundesliga,2017-2018,811.85,https://www.transfermarkt.fr/fc-bayern-munchen/startseite/verein/27/saison_id/2017
Borussia Dortmund,16,Bundesliga,2017-2018,574.2,https://www.transfermarkt.fr/borussia-dortmund/startseite/verein/16/saison_id/2017
Borussia Mönchengladbach,18,Bundesliga,2017-2018,193.25,https://www.transfermarkt.fr/borussia-monchengladbach/startseite/verein/18/saison_id/2017
Eintracht Francfort,24,Bundesliga,2017-2018,126.15,https://www.transfermarkt.fr/eintracht-frankfurt/startseite/verein/24/saison_id/2017
FC Augsburg,167,Bundesliga,2017-2018,100.45,https://www.transfermarkt.fr/fc-augsburg/startseite/verein/167/saison_id/2017
FC Schalke 04,33,Bundesliga,2017-2018,274.35,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2017
Hamburger SV,41,Bundesliga,2017-2018,62.4,https://www.transfermarkt.fr/hamburger-sv/startseite/verein/41/saison_id/2017
Hannover 96,42,Bundesliga,2017-2018,92.95,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2017
Hertha BSC,44,Bundesliga,2017-2018,131.45,https://www.transfermarkt.fr/hertha-bsc/startseite/verein/44/saison_id/2017
RB Leipzig,23826,Bundesliga,2017-2018,373.3,https://www.transfermarkt.fr/rasenballsport-leipzig/startseite/verein/23826/saison_id/2017
SC Fribourg,60,Bundesliga,2017-2018,100.6,https://www.transfermarkt.fr/sc-freiburg/startseite/verein/60/saison_id/2017
SV Werder Bremen,86,Bundesliga,2017-2018,107.15,https://www.transfermarkt.fr/sv-werder-bremen/startseite/verein/86/saison_id/2017
TSG 1899 Hoffenheim,533,Bundesliga,2017-2018,212.75,https://www.transfermarkt.fr/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2017
VfB Stuttgart,79,Bundesliga,2017-2018,134.7,https://www.transfermarkt.fr/vfb-stuttgart/startseite/verein/79/saison_id/2017
VfL Wolfsburg,82,Bundesliga,2017-2018,143.6,https://www.transfermarkt.fr/vfl-wolfsburg/startseite/verein/82/saison_id/2017
1.FC Nürnberg,4,Bundesliga,2018-2019,54.4,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2018
1.FSV Mainz 05,39,Bundesliga,2018-2019,159.73,https://www.transfermarkt.fr/1-fsv-mainz-05/startseite/verein/39/saison_id/2018
Bayer 04 Leverkusen,15,Bundesliga,2018-2019,429.4,https://www.transfermarkt.fr/bayer-04-leverkusen/startseite/verein/15/saison_id/2018
Bayern Munich,27,Bundesliga,2018-2019,784.88,https://www.transfermarkt.fr/fc-bayern-munchen/startseite/verein/27/saison_id/2018
Borussia Dortmund,16,Bundesliga,2018-2019,643.25,https://www.transfermarkt.fr/borussia-dortmund/startseite/verein/16/saison_id/2018
Borussia Mönchengladbach,18,Bundesliga,2018-2019,264.3,https://www.transfermarkt.fr/borussia-monchengladbach/startseite/verein/18/saison_id/2018
Eintracht Francfort,24,Bundesliga,2018-2019,313.4,https://www.transfermarkt.fr/eintracht-frankfurt/startseite/verein/24/saison_id/2018
FC Augsburg,167,Bundesliga,2018-2019,139.25,https://www.transfermarkt.fr/fc-augsburg/startseite/verein/167/saison_id/2018
FC Schalke 04,33,Bundesliga,2018-2019,221.3,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2018
Fortuna Düsseldorf,38,Bundesliga,2018-2019,94.95,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2018
Hannover 96,42,Bundesliga,2018-2019,91.43,https://www.transfermarkt.fr/hannover-96/startseite/verein/42/saison_id/2018
Hertha BSC,44,Bundesliga,2018-2019,207.63,https://www.transfermarkt.fr/hertha-bsc/startseite/verein/44/saison_id/2018
RB Leipzig,23826,Bundesliga,2018-2019,479.0,https://www.transfermarkt.fr/rasenballsport-leipzig/startseite/verein/23826/saison_id/2018
SC Fribourg,60,Bundesliga,2018-2019,122.1,https://www.transfermarkt.fr/sc-freiburg/startseite/verein/60/saison_id/2018
SV Werder Bremen,86,Bundesliga,2018-2019,168.05,https://www.transfermarkt.fr/sv-werder-bremen/startseite/verein/86/saison_id/2018
TSG 1899 Hoffenheim,533,Bundesliga,2018-2019,336.25,https://www.transfermarkt.fr/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2018
VfB Stuttgart,79,Bundesliga,2018-2019,143.75,https://www.transfermarkt.fr/vfb-stuttgart/startseite/verein/79/saison_id/2018
VfL Wolfsburg,82,Bundesliga,2018-2019,229.25,https://www.transfermarkt.fr/vfl-wolfsburg/startseite/verein/82/saison_id/2018
1.FC Köln,3,Bundesliga,2019-2020,98.48,https://www.transfermarkt.fr/1-fc-koln/startseite/verein/3/saison_id/2019
1.FC Union Berlin,89,Bundesliga,2019-2020,41.2,https://www.transfermarkt.fr/1-fc-union-berlin/startseite/verein/89/saison_id/2019
1.FSV Mainz 05,39,Bundesliga,2019-2020,121.58,https://www.transfermarkt.fr/1-fsv-mainz-05/startseite/verein/39/saison_id/2019
Bayer 04 Leverkusen,15,Bundesliga,2019-2020,398.95,https://www.transfermarkt.fr/bayer-04-leverkusen/startseite/verein/15/saison_id/2019
Bayern Munich,27,Bundesliga,2019-2020,777.33,https://www.transfermarkt.fr/fc-bayern-munchen/startseite/verein/27/saison_id/2019
Borussia Dortmund,16,Bundesliga,2019-2020,654.05,https://www.transfermarkt.fr/borussia-dortmund/startseite/verein/16/saison_id/2019
Borussia Mönchengladbach,18,Bundesliga,2019-2020,254.7,https://www.transfermarkt.fr/borussia-monchengladbach/startseite/verein/18/saison_id/2019
Eintracht Francfort,24,Bundesliga,2019-2020,208.98,https://www.transfermarkt.fr/eintracht-frankfurt/startseite/verein/24/saison_id/2019
FC Augsburg,167,Bundesliga,2019-2020,112.95,https://www.transfermarkt.fr/fc-augsburg/startseite/verein/167/saison_id/2019
FC Schalke 04,33,Bundesliga,2019-2020,221.58,https://www.transfermarkt.fr/fc-schalke-04/startseite/verein/33/saison_id/2019
Fortuna Düsseldorf,38,Bundesliga,2019-2020,71.78,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2019
Hertha BSC,44,Bundesliga,2019-2020,217.2,https://www.transfermarkt.fr/hertha-bsc/startseite/verein/44/saison_id/2019
