|table_schema|table_name                 |column_name         |ordinal_position|data_type|
|silver      |odds                       |home_team           |4               |VARCHAR  |
|silver      |odds                       |away_team           |5               |VARCHAR  |
|silver      |odds                       |result_fdc          |6               |VARCHAR  |
|silver      |odds                       |odds_pinnacle_h     |7               |DOUBLE   |
|silver      |odds                       |odds_pinnacle_d     |8               |DOUBLE   |
|silver      |odds                       |odds_pinnacle_a     |9               |DOUBLE   |
|silver      |odds                       |odds_avg_h          |10              |DOUBLE   |
|silver      |odds                       |odds_avg_d          |11              |DOUBLE   |
|silver      |odds                       |odds_avg_a          |12              |DOUBLE   |
|silver      |odds                       |odds_max_h          |13              |DOUBLE   |
|silver      |odds                       |odds_max_d          |14              |DOUBLE   |
|silver      |odds                       |odds_max_a          |15              |DOUBLE   |
|silver      |odds                       |pinnacle_prob_h     |16              |DOUBLE   |
|silver      |odds                       |pinnacle_prob_d     |17              |DOUBLE   |
|silver      |odds                       |pinnacle_prob_a     |18              |DOUBLE   |
|silver      |odds                       |market_prob_h       |19              |DOUBLE   |
|silver      |odds                       |market_prob_d       |20              |DOUBLE   |
|silver      |odds                       |market_prob_a       |21              |DOUBLE   |
|silver      |stg_whoscored_events       |ws_match_id         |1               |VARCHAR  |
|silver      |stg_whoscored_events       |event_id            |2               |INTEGER  |
|silver      |stg_whoscored_events       |league_source       |3               |VARCHAR  |
|silver      |stg_whoscored_events       |season              |4               |VARCHAR  |
|silver      |stg_whoscored_events       |minute              |5               |INTEGER  |
|silver      |stg_whoscored_events       |second              |6               |INTEGER  |
|silver      |stg_whoscored_events       |expanded_minute     |7               |INTEGER  |
|silver      |stg_whoscored_events       |period              |8               |INTEGER  |
|silver      |stg_whoscored_events       |team_id             |9               |INTEGER  |
|silver      |stg_whoscored_events       |player_id           |10              |INTEGER  |
|silver      |stg_whoscored_events       |x                   |11              |DOUBLE   |
|silver      |stg_whoscored_events       |y                   |12              |DOUBLE   |
|silver      |stg_whoscored_events       |end_x               |13              |DOUBLE   |
|silver      |stg_whoscored_events       |end_y               |14              |DOUBLE   |
|silver      |stg_whoscored_events       |type_id             |15              |INTEGER  |
|silver      |stg_whoscored_events       |type_name           |16              |VARCHAR  |
|silver      |stg_whoscored_events       |outcome_id          |17              |INTEGER  |
|silver      |stg_whoscored_events       |outcome_name        |18              |VARCHAR  |
|silver      |stg_whoscored_events       |is_touch            |19              |BOOLEAN  |
|silver      |stg_whoscored_events       |is_shot             |20              |BOOLEAN  |
|silver      |stg_whoscored_events       |qualifiers_json     |21              |VARCHAR  |
|silver      |stg_whoscored_events       |scraped_at          |22              |VARCHAR  |
|silver      |stg_whoscored_events       |row_num             |23              |INTEGER  |
|silver      |stg_whoscored_match_details|ws_match_id         |1               |VARCHAR  |
|silver      |stg_whoscored_match_details|league_source       |2               |VARCHAR  |
|silver      |stg_whoscored_match_details|season              |3               |VARCHAR  |
|silver      |stg_whoscored_match_details|scraped_at          |4               |VARCHAR  |
|silver      |stg_whoscored_match_details|home_shots_total    |5               |INTEGER  |
|silver      |stg_whoscored_match_details|away_shots_total    |6               |INTEGER  |
|silver      |stg_whoscored_match_details|home_shots_on_target|7               |INTEGER  |
|silver      |stg_whoscored_match_details|away_shots_on_target|8               |INTEGER  |
|silver      |stg_whoscored_match_details|home_shot_open_play |9               |INTEGER  |
|silver      |stg_whoscored_match_details|away_shot_open_play |10              |INTEGER  |
|silver      |stg_whoscored_match_details|home_shot_set_piece |11              |INTEGER  |
|silver      |stg_whoscored_match_details|away_shot_set_piece |12              |INTEGER  |
|silver      |stg_whoscored_match_details|home_shot_counter   |13              |INTEGER  |
|silver      |stg_whoscored_match_details|away_shot_counter   |14              |INTEGER  |
|silver      |stg_whoscored_match_details|home_key_passes     |15              |INTEGER  |
|silver      |stg_whoscored_match_details|away_key_passes     |16              |INTEGER  |
|silver      |stg_whoscored_match_details|home_through_balls  |17              |INTEGER  |
|silver      |stg_whoscored_match_details|away_through_balls  |18              |INTEGER  |
|silver      |stg_whoscored_match_details|home_long_balls     |19              |INTEGER  |
|silver      |stg_whoscored_match_details|away_long_balls     |20              |INTEGER  |
|silver      |stg_whoscored_match_details|home_yellow_cards   |21              |INTEGER  |
|silver      |stg_whoscored_match_details|away_yellow_cards   |22              |INTEGER  |
|silver      |stg_whoscored_match_details|home_red_cards      |23              |INTEGER  |
|silver      |stg_whoscored_match_details|away_red_cards      |24              |INTEGER  |
|silver      |stg_whoscored_match_details|home_attack_left    |25              |DOUBLE   |
|silver      |stg_whoscored_match_details|home_attack_center  |26              |DOUBLE   |
|silver      |stg_whoscored_match_details|home_attack_right   |27              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_attack_left    |28              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_attack_center  |29              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_attack_right   |30              |DOUBLE   |
|silver      |stg_whoscored_match_details|home_zone_defensive |31              |DOUBLE   |
|silver      |stg_whoscored_match_details|home_zone_middle    |32              |DOUBLE   |
|silver      |stg_whoscored_match_details|home_zone_offensive |33              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_zone_defensive |34              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_zone_middle    |35              |DOUBLE   |
|silver      |stg_whoscored_match_details|away_zone_offensive |36              |DOUBLE   |
|silver      |stg_whoscored_match_details|ht_score_home       |37              |INTEGER  |
|silver      |stg_whoscored_match_details|ht_score_away       |38              |INTEGER  |
|silver      |stg_whoscored_match_details|referee             |39              |VARCHAR  |
|silver      |stg_whoscored_match_details|extraction_method   |40              |VARCHAR  |
|silver      |stg_whoscored_match_index  |ws_match_id         |1               |VARCHAR  |
|silver      |stg_whoscored_match_index  |match_date          |2               |DATE     |
|silver      |stg_whoscored_match_index  |home_team_id        |3               |INTEGER  |
|silver      |stg_whoscored_match_index  |home_team_name      |4               |VARCHAR  |
|silver      |stg_whoscored_match_index  |away_team_id        |5               |INTEGER  |
|silver      |stg_whoscored_match_index  |away_team_name      |6               |VARCHAR  |
|silver      |stg_whoscored_match_index  |league_source       |7               |VARCHAR  |
|silver      |stg_whoscored_match_index  |season              |8               |VARCHAR  |
|silver      |stg_whoscored_match_index  |scraped_at          |9               |VARCHAR  |
|silver      |stg_whoscored_urls         |ws_match_id         |1               |VARCHAR  |
|silver      |stg_whoscored_urls         |url                 |2               |VARCHAR  |
|silver      |stg_whoscored_urls         |league_source       |3               |VARCHAR  |
|silver      |stg_whoscored_urls         |season              |4               |VARCHAR  |
|silver      |stg_whoscored_urls         |month_abbr          |5               |VARCHAR  |
|silver      |stg_whoscored_urls         |match_year          |6               |INTEGER  |
|silver      |stg_whoscored_urls         |is_scraped                 |7               |BOOLEAN  |
|silver      |stg_whoscored_urls         |indexed_at                 |8               |VARCHAR  |
|silver      |stg_whoscored_urls         |scraped_at                 |9               |VARCHAR  |
|silver      |stg_whoscored_urls         |skip_reason                |10              |VARCHAR  |
|silver      |understat_schedule         |league_source              |1               |VARCHAR  |
|silver      |understat_schedule         |match_id                   |2               |BIGINT   |
|silver      |understat_schedule         |home_team                  |3               |VARCHAR  |
|silver      |understat_schedule         |away_team                  |4               |VARCHAR  |
|silver      |understat_schedule         |home_goals                 |5               |BIGINT   |
|silver      |understat_schedule         |away_goals                 |6               |BIGINT   |
|silver      |understat_schedule         |home_xg                    |7               |DOUBLE   |
|silver      |understat_schedule         |away_xg                    |8               |DOUBLE   |
|silver      |understat_schedule         |is_result                  |9               |BOOLEAN  |
|silver      |understat_schedule         |match_url                  |10              |VARCHAR  |
|silver      |understat_schedule         |season                     |11              |VARCHAR  |
|silver      |understat_schedule         |source                     |12              |VARCHAR  |
|silver      |understat_schedule         |scraped_at                 |13              |VARCHAR  |
|silver      |understat_schedule         |comp_category              |14              |VARCHAR  |
|silver      |understat_schedule         |raw_home_team              |15              |VARCHAR  |
|silver      |understat_schedule         |raw_away_team              |16              |VARCHAR  |
|silver      |understat_stats            |match_id                   |1               |BIGINT   |
|silver      |understat_stats            |home_xpts                  |2               |DOUBLE   |
|silver      |understat_stats            |away_xpts                  |3               |DOUBLE   |
|silver      |understat_stats            |home_np_xg                 |4               |DOUBLE   |
|silver      |understat_stats            |away_np_xg                 |5               |DOUBLE   |
|silver      |understat_stats            |home_np_xg_diff            |6               |DOUBLE   |
|silver      |understat_stats            |away_np_xg_diff            |7               |DOUBLE   |
|silver      |understat_stats            |home_ppda                  |8               |DOUBLE   |
|silver      |understat_stats            |away_ppda                  |9               |DOUBLE   |
|silver      |understat_stats            |home_deep                  |10              |BIGINT   |
|silver      |understat_stats            |away_deep                  |11              |BIGINT   |
|silver      |understat_stats            |season                     |12              |VARCHAR  |
|silver      |understat_stats            |league_source              |13              |VARCHAR  |
|silver      |understat_stats            |source                     |14              |VARCHAR  |
|silver      |understat_stats            |scraped_at                 |15              |VARCHAR  |
|silver      |understat_stats            |comp_category              |16              |VARCHAR  |
|silver      |whoscored_team_season      |team                       |1               |VARCHAR  |
|silver      |whoscored_team_season      |season                     |2               |VARCHAR  |
|silver      |whoscored_team_season      |league_source              |3               |VARCHAR  |
|silver      |whoscored_team_season      |ws_away_shots_conceded_pg  |4               |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_tackles_pg         |5               |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_interceptions_pg   |6               |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_fouls_pg           |7               |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_offsides_pg        |8               |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_def_rating         |9               |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_shots_conceded_pg  |10              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_tackles_pg         |11              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_interceptions_pg   |12              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_fouls_pg           |13              |DOUBLE   |
