|table_schema|table_name        |column_name              |ordinal_position|data_type|
|intermediate|team_features_ws  |ws_shot_oob_pct          |17              |DOUBLE   |
|intermediate|team_features_ws  |ws_shot_open_play_pct    |18              |DOUBLE   |
|intermediate|team_features_ws  |ws_shot_set_piece_pct    |19              |DOUBLE   |
|intermediate|team_features_ws  |ws_shot_penalty_att_pct  |20              |DOUBLE   |
|intermediate|team_features_ws  |ws_conversion_rate       |21              |DOUBLE   |
|intermediate|team_features_ws  |ws_cross_rate            |22              |DOUBLE   |
|intermediate|team_features_ws  |ws_through_ball_rate     |23              |DOUBLE   |
|intermediate|team_features_ws  |ws_long_ball_rate        |24              |DOUBLE   |
|intermediate|team_features_ws  |ws_short_pass_rate       |25              |DOUBLE   |
|intermediate|team_features_ws  |ws_def_exposed_left_pct  |26              |DOUBLE   |
|intermediate|team_features_ws  |ws_def_exposed_center_pct|27              |DOUBLE   |
|intermediate|team_features_ws  |ws_def_exposed_right_pct |28              |DOUBLE   |
|intermediate|team_features_ws  |ws_counter_attack_dna    |29              |DOUBLE   |
|intermediate|team_features_ws  |ws_midfield_control_idx  |30              |DOUBLE   |
|intermediate|team_features_ws  |ws_defensive_line_height |31              |DOUBLE   |
|intermediate|team_features_ws  |ws_flank_exposure_asymm  |32              |DOUBLE   |
